source,target,weight
1605636,64684,1
1605636,1343349,1
1605636,1352169,1
1605636,451036,1
1605636,569658,1
1605636,1302651,1
1605636,1160999,1
1605636,1095926,1
1605636,617958,1
1605636,1174080,1
1564688,1351761,1
1294371,13982,3
1294371,522780,3
1294371,1353272,3
1294371,721954,3
1294371,1120791,2
1294371,844409,3
1294371,1106608,3
1294371,780681,3
1294371,411847,3
1294371,961706,3
1294371,508409,3
385062,1536579,2
327724,571004,1
327724,1272562,1
319534,134509,2
319534,383874,2
409648,879928,1
409648,1193837,1
409648,1197287,1
409648,972342,1
409648,1378020,1
516146,381745,1
655411,1160999,1
655411,4281,1
655411,1229638,1
655411,1000216,1
655411,1104681,1
655411,1622358,1
655411,1263588,1
1220663,1249902,1
188473,745364,1
188473,449502,1
188473,1682446,1
188473,1136408,1
376893,88764,1
376893,154798,2
376893,1205642,1
376893,441114,1
376893,44084,1
376893,314388,1
376893,558929,1
376893,1147270,2
376893,1149956,1
376893,147638,1
376893,700758,2
376893,804093,7
1040445,484531,1
1040445,582577,1
1040445,274794,1
1040445,1327647,2
1040445,1298030,1
1040445,1655855,1
1040445,552764,1
1040445,381057,1
1040445,617339,1
1040445,921111,1
1040445,495864,1
1040445,1368222,2
1040445,1482204,1
1335358,1264443,1
1335358,819965,2
1335358,1447156,2
1335358,616986,1
1335358,829280,1
360511,92645,1
360511,108147,1
360511,130178,1
360511,1481761,1
360511,1661083,1
360511,1081675,1
360511,1322351,1
360511,1133442,1
360511,437311,1
360511,900481,4
360511,900446,1
1212482,158278,1
1212482,982879,1
1212482,616986,2
1212482,1235043,1
1613893,364969,1
1613893,1014848,1
1613893,1628620,2
1613893,467782,1
1613893,910910,1
1613893,1352904,2
1613893,1071670,1
1613893,625075,2
1613893,443024,1
1613893,563144,1
1613893,740677,1
1613893,52673,5
1613893,1700072,2
1613893,484531,1
1613893,747182,1
1613893,517580,1
622662,1298030,1
573512,946877,3
573512,573292,1
573512,628163,1
573512,585192,1
573512,615884,1
573512,1585636,1
573512,724072,1
573512,913183,1
573512,1699781,1
573512,881265,1
573512,520031,2
573512,130150,1
573512,1688381,1
573512,214101,2
1155149,411907,1
1155149,1195640,1
1155149,692760,1
1155149,1187317,1
1155149,1659362,1
1155149,947230,1
1155149,1496916,1
1155149,1174648,1
1155149,619106,1
1155149,266662,1
1155149,1659246,1
1155149,945620,1
1155149,293598,1
1155149,1640426,1
1351761,1298463,6
1351761,1447156,1
1351761,436547,1
393298,692760,1
393298,897226,1
393298,1195640,1
393298,68401,1
122964,1706811,1
122964,1618604,1
122964,1201617,1
122964,745378,1
122964,421808,1
122964,957948,1
122964,1535083,1
122964,1246704,1
1187924,1355835,1
1187924,849916,1
1187924,876796,1
360537,1045159,1
360537,128023,1
360537,366544,1
360537,507653,2
360537,558929,5
360537,1529253,2
360537,276785,2
360537,331047,1
434277,1158890,1
434277,1598825,1
434277,1201617,1
434277,435763,1
1630319,1420754,2
1630319,31302,1
1630319,1707798,1
1630319,1648374,2
1630319,1391604,1
1630319,569417,1
1597558,31302,2
1597558,1593113,1
1597558,551653,1
1597558,1353779,8
1597558,1481761,1
1597558,689951,1
1597558,422072,1
41082,768684,1
41082,1632846,3
41082,157120,1
1302651,1343349,1
1302651,1055498,1
1302651,1481761,1
1302651,1095926,1
1302651,1315729,1
1302651,64684,1
1302651,452414,1
1302651,569658,1
1302651,1160999,1
1302651,1037989,1
1302651,747182,1
1302651,451036,1
1302651,1352169,1
1302651,1014067,1
1302651,892480,2
1302651,1174080,1
1302651,617958,1
1302651,392161,1
1302651,1255005,1
614525,52538,1
614525,796777,1
704640,914499,1
704640,467782,1
704640,1336408,1
1597573,679823,1
1269894,1331748,1
1269894,1201617,1
1482891,601799,1
1482891,90414,1
180370,495864,4
180370,3282,1
180370,486710,5
180370,1363641,4
180370,1055498,4
180370,1136416,1
180370,1514284,1
180370,1623538,4
180370,252715,1
1368222,315728,1
1368222,921111,1
1368222,1265361,2
1368222,552764,1
1368222,261721,1
1368222,1262548,1
1368222,1700072,1
1368222,558929,1
1368222,826409,2
1368222,338605,1
1368222,1632015,1
1368222,379509,1
1368222,178438,1
1368222,1505117,2
1368222,157233,1
1368222,42308,1
1368222,331047,1
1368222,52673,2
24745,502770,1
24745,37053,2
434347,1669978,1
434347,1535742,1
221357,942489,1
221357,264319,1
221357,1272562,2
221357,391709,1
401582,1306273,1
401582,392161,1
401582,992870,1
401582,1512894,1
401582,412261,1
131252,331047,1
131252,1577982,1
131252,744505,1
147638,346993,2
147638,1158984,2
147638,1205642,3
147638,558929,10
147638,246554,1
131255,865097,1
131255,294441,1
983227,1491486,6
983227,36165,1
983227,1644839,1
983227,812440,1
983227,582533,1
983227,1353770,2
983227,1389110,1
983227,617339,1
983227,601799,1
983227,865728,1
983227,467757,1
983227,1452426,1
983227,1099809,2
983227,1132479,1
835772,1263497,1
835772,1550055,1
835772,731766,2
835772,207364,3
835772,179354,1
344258,1318421,1
344258,179354,1
344258,1658892,1
344258,1511564,1
344258,370798,2
344258,1151075,3
344258,392161,1
344258,1262548,2
344258,179279,2
344258,596135,3
344258,486710,1
458947,505121,2
458947,470722,2
458947,1031505,2
458947,387868,2
1229000,479903,1
1229000,1338755,1
1229000,754301,1
1229000,1590368,1
336080,486710,1
336080,612975,1
1564882,1669126,1
1564882,1014848,1
1564882,331047,1
1564882,584845,1
1564882,923108,1
1564882,910242,1
1564882,435663,1
1564882,253881,1
1712345,501230,2
1712345,1646058,2
1712345,1001796,2
1712345,268106,2
1712345,1163068,2
385251,38159,1
1351925,1538119,1
459003,449776,2
459003,1050873,1
876796,1355835,1
876796,849916,1
49404,829860,1
639230,566602,1
639230,1690019,1
639230,685337,1
639230,661671,1
639230,666081,1
639230,656706,1
622850,771336,1
622850,408035,1
622850,538061,1
622850,728764,1
622850,1617010,1
778503,128031,1
778503,1520446,1
778503,1414355,1
778503,780450,1
778503,52673,1
778503,1666135,1
778503,364944,1
131337,86255,1
131337,1068211,1
131337,920795,1
131337,1642341,1
33043,349846,2
33043,1535952,1
33043,1636011,1
33043,123733,1
33043,535649,1
33043,1106990,1
33043,1708017,1
33043,458183,2
360733,79115,1
475422,487519,1
475422,1352169,1
475422,1629832,1
475422,476673,1
475422,1010968,1
1507619,1505117,2
1507619,1500165,2
82217,1539187,4
1450281,1226293,1
1450281,453937,1
639278,1490607,1
639278,695229,2
90414,601799,1
532803,1006674,2
459083,552764,2
459083,730082,1
459083,151059,2
1581391,125098,1
1581391,174556,1
1581391,799632,1
1147220,872815,2
1147220,1094175,2
1147220,249737,2
1147220,772395,2
1147220,715820,2
1622358,1229638,1
1622358,1249902,2
1622358,435744,1
1622358,1050165,3
1622358,1700568,1
1622358,1160999,2
1622358,865728,1
909655,110751,1
909655,1650248,1
459102,1332287,2
459102,881265,4
459102,1484773,2
459102,1151475,5
459102,326189,1
459102,397352,2
459102,331126,1
459102,1258006,4
459102,942489,3
459102,1687902,4
459102,1705773,6
459102,1178106,1
1687902,881265,1
852320,495134,4
852320,1061868,1
852320,779445,1
852320,954889,1
1696096,38558,1
1696096,502770,1
1696096,634500,1
1696096,426762,1
1696096,426757,1
1433958,1535742,1
1433958,1427467,1
1155437,715820,1
1155437,603396,1
1155437,249737,3
1155437,1133442,1
1155437,83318,1
1155437,1535742,1
1155437,779445,1
1155437,1061868,1
172400,1370472,1
172400,280983,1
172400,50401,1
172400,361778,1
958840,720162,1
958840,299619,1
696703,1042069,1
1401217,31302,1
1401217,596135,1
1147270,804093,2
1147270,700758,1
1147270,154798,1
778636,490858,1
778636,126337,1
778636,1259887,1
778636,1272562,1
778636,202517,1
778636,1260670,1
778636,910242,1
778636,1250488,1
778636,316731,1
8589,1457207,1
8589,486710,1
237966,1626930,1
237966,684123,5
1335699,928647,6
1335699,864200,5
1335699,244543,1
1335699,594316,1
33174,1687488,1
33174,1031313,1
33174,1322482,8
33174,1081176,1
33174,494247,1
942489,1201617,2
942489,1151475,1
942489,1650248,3
942489,1705192,2
942489,289332,2
942489,373299,2
942489,1272562,2
942489,617149,2
942489,747182,1
942489,73542,2
942489,1258006,1
942489,1322351,2
942489,1231858,2
942489,391709,2
942489,307990,1
942489,488554,1
942489,1481761,2
942489,1487835,2
942489,1174026,1
942489,1312575,1
942489,1585666,2
942489,813692,7
942489,1649672,2
606626,772448,1
606626,1222180,1
1507746,1659293,1
1507746,1224694,1
1507746,320635,1
1507746,337859,1
205224,88764,1
287157,393751,1
1524160,954889,1
1524160,1708463,3
1524160,1674632,1
1524160,1650248,1
1524160,1322351,1
1524160,1213282,5
1524160,361701,1
1524160,56325,3
1524160,431339,2
1524160,174176,1
1524160,479588,1
1270212,342063,1
1270212,1535952,1
991684,1347381,1
991684,812440,1
991684,1151583,1
991684,538061,1
991684,391655,1
991684,490149,1
270790,1626930,2
270790,684123,2
1491409,1502735,1
1491409,486198,2
1491409,519003,1
680406,337387,1
680406,86255,1
680406,920795,1
680406,750523,1
680406,945028,1
57814,1262960,3
57814,157233,1
451036,1014067,2
451036,1095926,2
451036,1535952,1
451036,865868,1
451036,1050165,1
451036,1352169,1
451036,1343349,1
451036,1160999,2
451036,563896,2
451036,64684,1
451036,569658,1
451036,617958,1
451036,1174080,2
1212899,648356,1
1352169,1174026,1
1352169,617958,1
1352169,1160999,1
1352169,755397,1
1352169,813692,1
1352169,1174080,1
1352169,573221,1
1352169,1629832,1
1352169,1343349,1
1352169,841916,1
1352169,476673,1
1352169,487519,1
1352169,569658,1
1352169,1257395,1
1352169,1255005,1
1352169,1481761,1
1352169,1010968,1
1352169,64684,1
1352169,1095926,1
975338,1142404,1
975338,1119559,1
975338,876178,1
98805,1585232,1
98805,563012,1
98805,394857,1
508409,411847,4
508409,522780,4
508409,1353272,4
508409,13982,4
508409,961706,3
508409,844409,4
508409,1120791,2
508409,721954,3
508409,1106608,3
508409,780681,4
762363,797918,2
762363,1617167,1
762363,752579,1
762363,860965,1
762363,1656697,2
762363,130178,9
1212925,126337,6
1212925,628163,1
1212925,1259887,1
1212925,582577,9
1212925,586037,2
1212925,1136416,2
1212925,528742,8
1212925,910242,2
1212925,1535083,1
1212925,1686278,1
1212925,244431,6
1212925,490858,1
1212925,495722,1
1212925,1217997,1
1212925,186443,1
1212925,130150,1
1212925,1246704,7
1212925,1211978,1
1212925,1250488,3
1090049,1473532,1
1090049,1182799,2
1090069,1461541,4
1090069,1022582,3
1090069,99716,4
483862,406098,1
483862,1207719,1
393751,715399,1
393751,1462384,2
999964,1249872,1
999964,828254,1
999964,869092,1
999964,448960,2
1491486,582533,1
1491486,584845,1
1491486,322073,1
1491486,849916,2
1491486,1700072,2
1491486,391638,2
1491486,253881,1
1491486,119694,1
1491486,1088800,2
1491486,1423563,3
1491486,467757,1
1491486,515191,1
1491486,1250008,2
1491486,1505117,1
1491486,915962,1
1491486,730082,4
1327647,157233,1
1327647,1682255,1
1327647,526297,1
1327647,627829,1
1327647,617339,1
1327647,1102027,1
1327647,1055993,1
1327647,415828,4
1327647,1262548,1
1327647,52673,1
1327647,331047,2
1327647,179279,1
1327647,431339,3
1327647,1481761,1
1327647,392161,8
1327647,1353779,1
1327647,381057,1
1327647,484531,1
1327647,495864,1
1327647,747478,1
1327647,1233095,1
1327647,274559,1
1327647,921111,2
1327647,1003012,1
1327647,741666,1
1327647,1662420,2
1327647,1482204,1
524844,817244,1
524844,649308,1
524844,55203,1
524844,1363641,1
696882,470722,3
696882,162130,2
696882,331126,3
696882,126337,3
696882,1174026,2
696882,1430431,1
696882,1398858,1
696882,1272562,2
696882,921111,2
574002,578025,1
574002,1146117,1
574002,1166031,1
574002,479773,1
574002,1532603,1
574002,674784,1
574002,1141392,1
41528,1301010,1
41528,920088,1
123458,1697595,2
361046,189240,1
361046,1332287,1
361046,619113,1
361046,1246704,1
361046,42308,1
361046,391709,1
361046,392161,1
1589849,538061,1
90717,535243,1
942686,1596284,3
942686,1594373,3
942686,921111,3
647776,383874,1
647776,486192,1
524899,1572355,1
524899,1632015,1
524899,327260,1
909924,955177,1
909924,921111,1
991845,676345,5
721520,596135,1
721520,1312575,1
721520,308661,1
721520,829860,1
721520,1174026,1
107128,658579,1
107128,1180896,1
107128,894978,1
107128,407633,1
107128,52673,1
107128,1506751,1
844409,522780,4
844409,1353272,4
844409,780681,4
844409,1106608,3
844409,961706,3
844409,411847,4
844409,1120791,2
844409,13982,4
844409,721954,3
754299,331391,1
754299,52673,1
754299,649308,1
754301,92426,3
754301,1338755,1
754301,391709,1
754301,1590368,1
754301,479903,1
1172095,2249,1
1172095,1644839,1
1172095,1211918,1
1172095,1022246,1
606852,1106615,1
606852,1348572,3
107143,1262548,2
107143,471301,3
107143,563144,3
107143,747182,3
107143,875341,3
107143,276394,3
107143,916523,3
107143,910910,3
107143,558929,1
107143,346993,1
107143,52538,3
107143,842401,2
107143,453937,2
107143,1014848,2
451209,812440,1
443024,1055993,2
443024,307990,2
443024,274794,3
443024,1098384,3
443024,910910,5
443024,471350,1
443024,551002,3
443024,1173339,2
443024,1604099,1
443024,80809,3
443024,462018,2
443024,970808,1
443024,186443,1
443024,78150,1
443024,563144,3
443024,747182,6
443024,850174,1
443024,1157474,2
443024,768963,2
443024,1272562,1
443024,910242,1
443024,1088800,2
443024,31302,3
443024,1255485,6
443024,1260670,1
443024,274233,1
443024,1262548,3
443024,924807,2
443024,431339,3
443024,1391604,1
443024,374767,3
443024,1201617,3
443024,276394,2
443024,1686278,2
443024,1028997,2
443024,617149,2
443024,490858,1
443024,933805,2
443024,346573,3
443024,467782,1
443024,617339,2
443024,941533,4
443024,587235,1
443024,130178,1
1098384,374767,3
1098384,431339,3
1098384,346573,3
1098384,551002,3
1098384,80809,3
1098384,31302,3
1098384,274794,3
754336,1650248,1
754336,945183,1
754336,391709,1
754336,1272562,1
254629,993876,1
254629,1632842,1
254629,395315,1
254629,1383796,1
254629,114671,1
1106608,394507,1
1106608,13982,3
1106608,780681,3
1106608,961706,3
1106608,421088,1
1106608,721954,3
